Identifier,APA Citation,Title,Orientation,Primary Pattern(s) / Pathway(s),Domain Categories,Pipeline Stage,Pipeline Sub-stage,Historical Era,Triange coverage (AI + data production + community impacts),Rationale,Source type,How source was found,Keywords,Geographic region of focus,"Author affiliations (majority grouping if multiple, full details in note on positionality)",Geographic area of author (lead author if multiple),"Institution / Country
(lead author)",Authorship & positionality context,Summary,Additional Notes
"Martin et al., 2020","Martin, D. Jr., Prabhakaran, V., Kuhlberg, J., Smart, A., & Isaac, W. S. (2020). Participatory Problem Formulation for Fairer Machine Learning Through Community Based System Dynamics (No. arXiv:2005.07572). arXiv. https://doi.org/10.48550/arXiv.2005.07572  
",Participatory Problem Formulation for Fairer Machine Learning Through Community Based System Dynamics,Principles less-extractive,Decentering Western ontologies,"Data practices, Community impacts and relations",Problem Understanding & Formulation,Product Conception & Design,Era 3,ADC,A: targets fairness at problem formulation; D: introduces CBSD to elicit system dynamics; C: includes typically excluded stakeholders in agenda-setting,"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences",problem formulation; CBSD; fairness; stakeholder participation,Not regionally specific,Mixed,North America,Google,"Google; System Stars; DeepMind, USA/UK","Argues bias emerges in problem formulation. Introduces Community-Based System Dynamics to surface domain complexities and stakeholder perspectives before modeling. Demonstrates a structured, participatory method to align ML objectives with community needs and fairness outcomes.",
"Martinez & Squire, 2024","Martinez, R., & Squire, K. (2024). Engaging recently incarcerated and gang affiliated Black and Latino/a young adults in designing social collocated applications for mixed reality smart glasses through community-based participatory design workshops. Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems, 1–17. https://doi.org/10.1145/3613904.3642895",Engaging recently incarcerated and gang affiliated Black and Latino/a young adults in designing social collocated applications for mixed reality smart glasses through community-based participatory design workshops,Practices less-extractive,Early co-design and participatory initiatives,"Community impacts and relations, Data practices",Problem Understanding & Formulation,Product Conception & Design,Era 3,ADC,A: applies CBPD to emerging MR systems; D: elicits embodied design elements from participants; C: surfaces critique of exclusionary institutions and supports democratic tech design,"White (published journal papers, conference proceedings, books)",Database search,"USA, participatory design, mixed reality, marginalized youth",Multiple areas,Academic,North America,"Informatics/ Donald Bren School of Information and Computer Sciences (ICS)/ Games+Learning+Society Lab, Connected Learning Lab, CREATE Lab, University of Califiornia Irvine, USA",,"Design-based implementation research and community-based participatory design with recently incarcerated and gang-affiliated youth. Workshops elicit embodied design concepts for social, co-located MR uses, surfacing emotions and lived experience while critiquing exclusionary institutions. Contributes recommendations for MR interactions and demonstrates how participatory methods can democratize early-stage AI/AR design.",
"Medrado & Verdegem, 2024","Medrado, A., & Verdegem, P. (2024). Participatory action research in critical data studies: Interrogating AI from a South–North approach. Big Data & Society, 11(1),  https://doi.org/10.1177/20539517241235869",Participatory action research in critical data studies: Interrogating AI from a South–North approach,Practices less-extractive,Early co-design and participatory initiatives,"Community impacts and relations, Critical theory/Historical background",Problem Understanding & Formulation,Product Conception & Design,Era 3,ADC,"A: critiques AI exclusion of Global South perspectives; D: applies PAR as data production method; C: foregrounds justice, empathy, and collaborative knowledge creation.","White (published journal papers, conference proceedings, books)",Database search,LatAm; participatory action research; data justice; Global South,EU/UK,Academic,EU/UK,"University of Westminster, UK",,"Applies participatory action research (PAR) from Latin American traditions to AI and data justice. Workshops in London illustrate collaborative knowledge creation surfacing concerns about empathy, autonomy, and dialogue. Argues conventional AI marginalizes Global South perspectives, reproducing inequality. PAR reframes debates by elevating excluded voices and fostering solidarity across regions.",
"Meighan, 2021","Meighan, P. J. (2021). Decolonizing the digital landscape: The role of technology in Indigenous language revitalization. AlterNative: An International Journal of Indigenous Peoples, 17(3), 397–405. https://doi.org/10.1177/11771801211037672",Decolonizing the digital landscape: The role of technology in Indigenous language revitalization,Principles less-extractive,"Participatory data ownership & governance, Decentering Western ontologies","Community impacts and relations, Critical theory/Historical background",Cross-pipeline,Cross-pipeline,Multi-era,ADC,A: applies to AI-adjacent language tech ecosystems; D: maps ILR use across Web 1.0–3.0; C: highlights community control and cultural expression,"White (published journal papers, conference proceedings, books)",Database search,Scotland; Turtle Island; ILR; technology,Multiple areas,Academic,North America,"McGill University, Canada",,"Argues that technology is not a neutral tool and has historically reflected dominant Western perspectives, but Indigenous communities are actively reclaiming technology to revitalize their languages. The article analyzes the evolution of technology used in ILR through three eras: Web 1.0, Web 2.0, and Web 3.0. While early initiatives focused on disseminating digital information, recent trends highlight a shift towards Indigenous communities becoming creators and negotiators of technology. Meighan emphasizes the importance of decolonizing the digital landscape by ensuring that Indigenous languages and worldviews are represented and celebrated online. The article concludes on an optimistic note, pointing to a future where technology can be a powerful tool for Indigenous language reclamation and cultural expression.",
"Mejias & Couldry, 2024","Mejias, U. A., & Couldry, N. (2024). Data Grab: The New Colonialism of Big Tech and How to Fight Back. University of Chicago Press.",Data Grab: The New Colonialism of Big Tech and How to Fight Back,Extractive,"Collecting vast amounts of data to train AI systems, Soliciting data without reciprocal benefits, Prioritizing data wants over community needs","Community impacts and relations, Critical theory/Historical background",Cross-pipeline,Cross-pipeline,Era 3,DC,A: none (indirect implications); D: theorizes data colonialism as extraction without return; C: documents harms and community resistance strategies,"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences",Global South; data colonialism; extraction; resistance,Not regionally specific,Academic,North America,"State University of New York, USA","London School of Economics, UK; Harvard, MA, USA","Traces how Big Tech consolidates power through systematic data capture that mirrors colonial resource extraction. Details how platform infrastructures convert life into data assets without reciprocity, deepening inequality and enabling discriminatory systems. Surveys resistance—legal, labor, and community organizing—and articulates pathways to reassert control. Frames “data grab” as a political economy of extraction that reorders social life and demands countermeasures grounded in justice.",
"Mezzadra & Neilson, 2017","Mezzadra, S., & Neilson, B. (2017). On the multiple frontiers of extraction: Excavating contemporary capitalism. Cultural Studies, 31(2–3), 185–204. https://doi.org/10.1080/09502386.2017.1303425",On the multiple frontiers of extraction: Excavating contemporary capitalism,Extractive,Soliciting data without reciprocal benefits,Data practices,Problem Understanding & Formulation,Institutional Prioritization & Funding,Multi-era,DC,"A: none; D: analyzes extraction across logistics, finance, and digital domains; C: examines appropriation of social cooperation and human activity","White (published journal papers, conference proceedings, books)",Database search,"extraction, contemporary capitalism, data appropriation",Not regionally specific,Academic,EU/UK,"University of Bologna, Italy","Western Sydney University, Australia","Argues that the concept of ""extraction"" in contemporary capitalism should be understood beyond its traditional association with mining and agribusiness. They propose the idea of ""operations of capital"" to highlight the extractive nature of capitalist activities across various domains like logistics and finance. The authors emphasize that extraction involves not only the physical removal of resources but also the appropriation of social cooperation, human activity, and data. They examine different manifestations of extraction in the digital realm, biocapitalism, urban landscapes, and even within the realm of finance, highlighting the interconnection between these diverse forms of extraction. ",
"Mhlambi & Tiribelli, 2023","Mhlambi, S., Tiribelli, S. Decolonizing AI Ethics: Relational Autonomy as a Means to Counter AI Harms. Topoi 42, 867–880 (2023). https://doi.org/10.1007/s11245-022-09874-2",Decolonizing AI Ethics: Relational Autonomy as a Means to Counter AI Harms,Principles less-extractive,Decentering Western ontologies,"Ethics frameworks, Critical theory/Historical background",Problem Understanding & Formulation,Product Conception & Design,Era 3,AD,A: critiques autonomy in mainstream AI ethics; D: proposes relational autonomy grounded in Ubuntu; C: none (indirect implications),"White (published journal papers, conference proceedings, books)",Database search,ethics; relational autonomy; Ubuntu; harms,Not regionally specific,Academic,North America,"Harvard University, USA",,"Critiques liberal autonomy as insufficient for AI harms affecting marginalized populations. Reframes autonomy as relational, drawing on Ubuntu and moral philosophy. Provides normative guidance for AI design and governance, shifting evaluative focus from isolated individuals to networks of care and obligation.",
"Miceli & Posada, 2022","Miceli, M., & Posada, J. (2022). The Data-Production Dispositif. Proceedings of the ACM on Human-Computer Interaction, 6(CSCW2), 1–37. https://doi.org/10.1145/3555561",The Data-Production Dispositif,Extractive,Exploitative and invisible data labor,Data labor,ML System Design & Development,"Data Selection, Collection & Annotation",Multi-era,ADC,A: analyzes machine learning dataset creation; D: examines task instructions and classification practices; C: documents precarious working conditions and power imbalances affecting Latin American workers,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,"AI data work, microwork platforms, typology","LatAm (includes Central America, South America & Carribbean)",Academic,EU/UK,"DAIR institute, USA; TU Berlin and Weizenbaum Institute, Germany","Yale University, USA","Analyzes human labor in machine learning dataset creation through task instructions and interviews with workers and managers. Identifies ""data-production dispositif"" that normalizes worker exploitation by prioritizing speed and obedience over well-being. Finds normalized classifications and binary categories in instructions shape data labeling while marginalizing worker input and agency.",
"Miceli et al., 2021","Miceli, M., Yang, T., Naudts, L., Schuessler, M., Serbanescu, D., & Hanna, A. (2021). Documenting Computer Vision Datasets: An Invitation to Reflexive Data Practices. Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency, 161–172. https://doi.org/10.1145/3442188.3445880",Documenting Computer Vision Datasets: An Invitation to Reflexive Data Practices,Principles less-extractive,Building public visibility in dataset development,"Data practices, Data labor",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,AD,"A: links to AI through dataset documentation for computer vision; D: surfaces production contexts and data worker practices;
C: none (implicit and indirect)","White (published journal papers, conference proceedings, books)",Database search,"Dataset documentation, computer vision, labor",Multiple areas,Mixed,EU/UK,"Technische Universität Berlin, Germany","Centre for IT & IP Law (CiTiP), KU Leuven, BE;
Google Research, USA","Ethnography/interviews at two data-processing firms plus 30 interviews show why documentation rarely captures labor and decision histories. Proposes reflexive documentation to render context, incentives, and power visible—improving accountability for how CV datasets are made and maintained.",
"Mihalcea et al., 2024","Mihalcea, R., Ignat, O., Bai, L., Borah, A., Chiruzzo, L., Jin, Z., Kwizera, C., Nwatu, J., Poria, S., & Solorio, T. (2025). Why AI is WEIRD and shouldn’t be this way: Towards AI for everyone, with everyone, by everyone. Proceedings of the Thirty-Ninth AAAI Conference on Artificial Intelligence and Thirty-Seventh Conference on Innovative Applications of Artificial Intelligence and Fifteenth Symposium on Educational Advances in Artificial Intelligence, 39, 28657–28670. https://doi.org/10.1609/aaai.v39i27.35092 
","Why AI Is WEIRD and Should Not Be This Way: Towards AI For Everyone, With Everyone, By Everyone",Principles less-extractive,Creating culturally inclusive datasets,"Data practices, Community impacts and relations",Cross-pipeline,Cross-pipeline,Era 3,ADC,"A: argues WEIRD AI underperforms globally; D: recommends diverse data, teams, and metrics; C: centers inclusion and equitable benefit","White (published journal papers, conference proceedings, books)",Citation/reference snowballing,global; AI inclusion; data diversity; evaluation,Not regionally specific,Academic,North America,University of Michigan USA,"Santa Clara University; Universidad de la Republica Uruguay; Max Plank Institute; CMU Africa; Singapore University of Technology and Design, Singapore; MBZUAI, UAE","Argues for a fundamental shift towards inclusive AI systems that are developed for everyone, with everyone, and by everyone. The authors identify that current AI development is ""WEIRD"" (Western, Educated, Industrialized, Rich, and Democratic), leading to data biases, uneven model performance, and a lack of cultural knowledge. They propose actionable recommendations across the entire AI pipeline, from data collection and annotation to model design and evaluation, emphasizing the need for diverse teams, fair incentives, and a focus on real-world applications to ensure that AI benefits all of humanity, not just a privileged segment. The text is structured around five key areas, data, models, evaluations, incentives and people",
"Milan & Treré, 2019 ","Milan, S., & Treré, E. (2019). Big Data from the South(s): Beyond Data Universalism. Television & New Media, 20(4), 319–335. https://doi.org/10.1177/1527476419837739",Big Data from the South(s): Beyond Data Universalism,Principles less-extractive,Decentering Western ontologies,"Community impacts and relations, Critical theory/Historical background",Problem Understanding & Formulation,Institutional Prioritization & Funding,Era 2,DC,A: none (agenda for data studies broadly); D: critiques data universalism and proposes de-Westernizing operations; C: centers agency and epistemic justice in the Global South,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,Latin America; Global South; data universalism; decolonial theory,"LatAm (includes Central America, South America & Carribbean)",Academic,EU/UK,"University of Amsterdam, NL","School of Journalism, Media and Culture, Cardiff University, UK","Introduces the concept of “Big Data from the South(s)” as a framework for challenging the “data universalism” that dominates current data studies. The authors argue that existing research often overlooks the unique experiences and challenges of the Global South, where datafication can exacerbate existing inequalities and power imbalances. They propose five key operations to de-Westernize data studies: moving beyond data universalism, understanding the South as a plural entity, engaging with decolonial theory, re-centering agency, and exploring new data imaginaries emerging from the margins. By highlighting the perspectives and experiences of the Global South, this research agenda seeks to promote epistemic justice and develop more inclusive and equitable approaches to datafication.",
"Milan & Treré, 2024","Milan, S., & Treré, E. (2024). Against decolonial reductionism: The impact of Latin American thinking on the data decolonization project. Big Data & Society, 11(4), 20539517241270694. https://doi.org/10.1177/20539517241270694",Against decolonial reductionism: The impact of Latin American thinking on the data decolonization project,Principles less-extractive,Decentering Western ontologies,"Community impacts and relations, Critical theory/Historical background",Problem Understanding & Formulation,Institutional Prioritization & Funding,Era 3,DC,A: none; D: critiques reductionist invocations of decoloniality in data contexts; C: foregrounds Latin American traditions and community-grounded alternatives,"White (published journal papers, conference proceedings, books)",Hand-searching key journals,"decolonial reductionism, datafied society, social movements, epistemic disobedience, multilingualism, public scholarship, mentorship","LatAm (includes Central America, South America & Carribbean)",Academic,EU/UK,"University of Amsterdam, Amsterdam, the Netherlands",,"Argues that Latin American scholarship offers crucial insights for decolonizing our understanding of datafication. It highlights the Big Data from the South Initiative (BigDataSur) as an example, emphasizing how it draws inspiration from Latin American thinkers like Martín-Barbero, Freire, and Mignolo. The authors caution against ""decolonial reductionism,"" where decolonial ideas are superficially invoked without genuine practical commitment. The text concludes by outlining practical strategies like multilingualism, public scholarship, and mentorship to foster a more open and inclusive dialogue on alternative approaches to datafication and knowledge production.",
"Milner & Traub, 2021","Milner, Y., & Traub, A. (2021). Data Capitalism and Algorithmic Racism. Demos. https://www.demos.org/research/data-capitalism-and-algorithmic-racism",Data Capitalism and Algorithmic Racism,Extractive,Collecting vast amounts of data to train AI systems,Critical theory/Historical background,Cross-pipeline,Cross-pipeline,Multi-era,ADC,A: connects algorithmic systems to racialized extraction; D: critiques data commodification across sectors; C: proposes reforms to empower impacted communities,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)","Existing networks, relevant organizations and conferences","data capitalism, algorigthmic racism, harm",North America,NGO/Non-profit,North America,"Data for Black Lives; Demos, USA",,"Argues that data capitalism, an economic model built on the extraction and commodification of data, exacerbates racial and economic inequalities. The report details how data capitalism is rooted in chattel slavery and has evolved into ubiquitous surveillance and algorithmic decision-making that reinforces existing power disparities. The authors outline the problem of data capitalism in various spheres, including the workplace, the consumer marketplace, and the public sphere, highlighting how algorithms and automated decisions often perpetuate racial bias. The report concludes with a call to action, urging policymakers, movement leaders, and thinkers to address the challenges posed by data capitalism through transparency, regulation, structural change, and governance. These solutions aim to democratize data, provide equitable access to technology, and empower communities most impacted by data capitalism's harmful effects.",
"Mitchell et al., 2019","Mitchell, M., Wu, S., Zaldivar, A., Barnes, P., Vasserman, L., Hutchinson, B., Spitzer, E., Raji, I. D., & Gebru, T. (2019). Model Cards for Model Reporting. Proceedings of the Conference on Fairness, Accountability, and Transparency, 220–229. https://doi.org/10.1145/3287560.3287596 
",Model Cards for Model Reporting,Practices less-extractive,Building public visibility in dataset development,Data practices,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: formalizes model reporting; D: specifies standardized documentation of performance across subgroups/contexts; C: supports user/community understanding and limits misuse,"White (published journal papers, conference proceedings, books)",Database search,"dataset development, accountability, documentation, framework",Not regionally specific,Mixed,North America,"Google LLC, USA","University of California, Berkeley, USA","Introduces “model cards,” concise documentation accompanying trained models. Cards report intended use, evaluation procedures, and performance across demographic/phenotypic and intersectional groups. Demonstrates cards for vision and NLP models, arguing standardized reporting curbs misuse, clarifies limits, and improves accountability. Links model transparency to upstream data and evaluation choices with implications for impacted communities.",
"Mohamed et al., 2020","Mohamed, S., Png, M.-T., & Isaac, W. (2020). Decolonial AI: Decolonial Theory as Sociotechnical Foresight in Artificial Intelligence. Philosophy & Technology, 33(4), 659–684. https://doi.org/10.1007/s13347-020-00405-8",Decolonial AI: Decolonial Theory as Sociotechnical Foresight in Artificial Intelligence,Extractive,"Excluding underrepresented groups from decision-making, Ethics dumping in less-regulated contexts",Critical theory/Historical background,Problem Understanding & Formulation,Product Conception & Design,Era 3,ADC,A: critical technical practice for decolonial design; D: critiques colonial data pipelines; C: reciprocal engagement & reverse tutelage,"White (published journal papers, conference proceedings, books)",Database search,"Decolonizing, algorithmic colonialism",Not regionally specific,Industry,EU/UK,DeepMind London,"University of Oxford, Oxford, UK","Argues that the field of AI must engage with decolonial theory in order to anticipate and prevent the potential harms of AI systems. The authors argue that AI systems, as both objects and subjects, are expressions of the coloniality of power. They introduce the term algorithmic colonialism to describe how AI systems can perpetuate and exacerbate existing social inequities and introduce three specific areas of concern: algorithmic oppression, algorithmic exploitation, and algorithmic dispossession. They illustrate each of these problems with specific use cases, grounding the theoretical framework in concrete examples. The authors advocate for the development of a decolonial AI, outlining three broad tactics for resisting algorithmic colonialism: a critical technical practice of AI that acknowledges power imbalances and implicit value systems, reciprocal engagements that center marginalized communities and support reverse tutelage, and the development of renewed affective and political communities that can challenge existing hierarchies and create more just and equitable systems.",
"Montiel & Uyheng, 2022","Montiel, C. J., & Uyheng, J. (2022). Foundations for a decolonial big data psychology. Journal of Social Issues, 78(2), 278–297. https://doi.org/10.1111/josi.12439",Foundations for a decolonial big data psychology,Principles less-extractive,Decentering Western ontologies,Critical theory/Historical background,Problem Understanding & Formulation,Institutional Prioritization & Funding,Multi-era,DC,A: none; D: critiques dominant psychological uses of big data; C: advances decolonial framework centering Global South and Philippine contexts,"White (published journal papers, conference proceedings, books)",Database search,"Philippines, big data, decolonial psychology",APAC (Asia-Pacific Region),Industry,APAC (Asia-Pacific Region),"Ateneo de Manila University, Philippines",,"Argues that a decolonial approach to big data is necessary for psychological research, especially in the context of the Global South. They critique the prevailing tendency in big data psychology to uncritically adopt mainstream, often Western-centric, paradigms of knowledge production, which risk perpetuating the marginalization of non-WEIRD perspectives. Instead, the authors propose a framework for big data psychology that prioritizes collective ontologies, naturalistic epistemologies, and socio-politically sensitive ethical guidelines, all viewed through the lens of reflexivities from the margins. Through two case studies examining social issues in the Philippines, they illustrate how this framework can be operationalized to generate more equitable and insightful psychological research.",
"Morreale et al., 2023","Morreale, F., Bahmanteymouri, E., Burmester, B. et al. The unwitting labourer: extracting humanness in AI training. AI & Soc (2023). https://doi.org/10.1007/s00146-023-01692-3",The unwitting labourer: extracting humanness in AI training,Extractive,Exploitative and invisible data labor,"Data practices, Data labor",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: theorizes extraction of “humanness” in AI; D: analyzes reCAPTCHA, recommendations, content generation, spam filtering; C: highlights unconsented, uncompensated public participation","White (published journal papers, conference proceedings, books)",Database search,Oceania; immaterial labour; digital labour; exploitation,Oceania,Academic,Oceania,"The University of Auckland, Auckland, New Zealand","Faculty of Creative Arts and Industries (School of Music), The University of Auckland, Auckland, New Zealand; Faculty of Creative Arts and Industries (Architecture and Planning), The University of Auckland, Auckland, New Zealand; Faculty of Business and Economics (Management and International Business), The University of Auckland, Auckland, New Zealand; Faculty of Arts (Koi Tū - the Centre for Informed Futures), The University of Auckland, Auckland, New Zealand; Faculty of Arts (Anthropology), The University of Auckland, Auckland, New Zealand","Uses Political Discourse Theory to argue that everyday digital interactions conscript “unwitting labourers” into AI training. Through four cases, shows how cognition and perception are commodified without consent or compensation. Frames this as a distinct labor relation within AI supply chains, clarifying opaque data production that burdens users while benefiting firms.",
"Moyo, 2020","Moyo, L. (2020). Decolonial Research Methodologies: Resistance and Liberatory Approaches. In L. Moyo (Ed.), The Decolonial Turn in Media Studies in Africa and the Global South (pp. 187–225). Springer International Publishing. https://doi.org/10.1007/978-3-030-52832-4_6",Decolonial Research Methodologies: Resistance and Liberatory Approaches,Principles less-extractive,"Early co-design and participatory initiatives, Decentering Western ontologies","Community impacts and relations, Critical theory/Historical background",Cross-pipeline,Cross-pipeline,Multi-era,ADC,A: critiques Eurocentric approaches to AI/data debates (indirectly); D: proposes PAR and IRM as decolonial research methods; C: addresses Global South communities’ epistemic marginalization,"White (published journal papers, conference proceedings, books)",Database search,Global South; decolonial methodology; PAR; IRM,"LatAm (includes Central America, South America & Carribbean)",Academic,Africa,"American University of Nigeria, Nigeria",,"Looks at problems of Eurocentric media and communication research methodologies. Moyo argues that dominant Western research methodologies, often rooted in positivist and utilitarian traditions, ultimately perpetuate colonial power structures and fail to capture the lived experiences of the Global South. The chapter critiques the perceived neutrality and objectivity of Western research, highlighting how cultural biases influence research design, data analysis, and interpretation. Instead, Moyo advocates for decolonial research methodologies, like Participatory Action Research (PAR) and Indigenous Research Methodology (IRM), which emphasize collaboration, reflexivity, and the recognition of diverse knowledge systems.",
"Mozilla Common Voice, n.d.","Mozilla Common Voice. (n.d.). Mozilla Common Voice. Retrieved September 7, 2025, from https://commonvoice.mozilla.org/",Mozilla Common Voice,Practices less-extractive,Crowdsourcing data collection,"Community impacts and relations, Data practices",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: provides open speech data for ASR and related models; D: community records, validates, and curates speech; C: supports language preservation and inclusive speech technologies","Grey (Reports, blogs, white papers, policy documents, theses, conference papers)","Existing networks, relevant organizations and conferences",global; speech datasets; open source; inclusion,Multiple areas,NGO/Non-profit,Multiple areas,"Mozilla Foundation, USA/global",,"Open, community-led speech data creation platform where volunteers donate and validate voice clips. Targets coverage of many languages and accents to reduce performance gaps in speech technologies and support language revitalization. Stresses transparent licensing and reuse to enable public-interest and commercial ASR with stronger representation of under-served speakers.",
"Muldoon & Wu, 2023","Muldoon, J., & Wu, B. A. (2023). Artificial Intelligence in the Colonial Matrix of Power. Philosophy & Technology, 36(4), 80. https://doi.org/10.1007/s13347-023-00687-8",Artificial Intelligence in the Colonial Matrix of Power,Extractive,Soliciting data without reciprocal benefits,"Data practices, Community impacts and relations, Critical theory/Historical background",Cross-pipeline,Cross-pipeline,Era 3,ADC,A: analyzes AI development within colonial systems; D: examines extractive data collection practices and colonial supply chains; C: identifies impacts on Global Majority communities through ongoing colonialism,"White (published journal papers, conference proceedings, books)",Database search,"AI colonialism, data extraction, colonial supply chain",Not regionally specific,Academic,EU/UK,"University of Essex, UK","Oxford Internet Institute, University of Oxford, Oxford, UK","Argues that the development and deployment of AI systems are embedded within historical and ongoing systems of colonialism, and provides a framework for understanding how AI production relies on a “colonial supply chain” that extracts resources and exploits labor, primarily from the majority world, to benefit Western technology companies. This system perpetuates global power imbalances by concentrating wealth and technological advancement in the West. Moreover, Muldoon and Wu posit that AI reinforces hegemonic knowledge production by prioritizing Western values and epistemologies in its datasets and algorithms that contributes to the marginalization of non-Western perspectives and knowledge systems.",
"Muldoon et al., 2024","Muldoon, J., Cant, C., Wu, B., & Graham, M. (2024). A Typology of AI Data Work. Big Data and Society, 11(1), Article 1. https://doi.org/10.1177/20539517241232632", A Typology of AI Data Work,Extractive,Exploitative and invisible data labor,Data labor,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,AD,A: conceptualizes AI data pipeline and algorithm preparation; D: categorizes data work institutions and employment relationships; C: none (indirect implications),"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences","AI data work, data annotation, microwork platform",Not regionally specific,Academic,EU/UK,"Essex Business School, UK",,"Introduces the concept of ""AI data work,"" which is defined as the human labor involved in preparing and evaluating data for machine learning algorithms. The authors address the confusion surrounding terms like ""microwork"" and ""crowdwork"" by providing a typology of AI data work institutions, differentiating them based on employment relationships (crowdsourced vs. employees), type of service (generalist vs. AI-specific), and organizational structure (internal vs. external). Furthermore, they present a conceptual schema of the ""AI data pipeline"" which breaks down the AI production process into sequential steps, emphasizing the interconnectedness of data collection, curation, annotation, quality assurance, model training, evaluation, and verification, to demonstrate how human practices are commodified within global AI production networks",
"Munn, 2024","Munn, L. (2024). The five tests: Designing and evaluating AI according to indigenous Māori principles. AI & SOCIETY, 39(4), 1673–1681. https://doi.org/10.1007/s00146-023-01636-x
",The five tests: Designing and evaluating AI according to indigenous Māori principles,Principles less-extractive,Participatory data ownership & governance,"Community impacts and relations, Ethics frameworks",Cross-pipeline,Cross-pipeline,Era 3,ADC,A: discusses implications of Māori principles for AI evaluation; D: operationalizes “five tests” as criteria for design and assessment; C: emphasizes decolonial and communal perspectives on sustainable AI outcomes.,"White (published journal papers, conference proceedings, books)",Iterative keyword search,Oceania; Māori principles; AI evaluation; decolonial practice,Oceania,Academic,Oceania,"Digital Cultures & Societies, University of Queensland,
Mianjin/Brisbane, Australia",,"Adapts Sir Hirini Moko Mead’s five tests to guide AI design and assessment. Provides practical and normative criteria rooted in Māori values to evaluate harms, reciprocity, and relationships. Offers a decolonial lens for governance and practice that can redirect data production and system use toward collective benefit",
"Naous et al., 2024","Naous, T., Ryan, M. J., Ritter, A., & Xu, W. (2024). Having Beer after Prayer? Measuring Cultural Bias in Large Language Models. In L.-W. Ku, A. Martins, & V. Srikumar (Eds.), Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers) (pp. 16366–16393). Association for Computational Linguistics. https://doi.org/10.18653/v1/2024.acl-long.862",Having Beer after Prayer? Measuring Cultural Bias in Large Language Models,Extractive,"""Deploying AI systems that lack local, contextual data""","Community impacts and relations, Data practices",ML System Design & Development,Model Training & Evaluation,Era 3,ADC,A: evaluates multilingual/Arabic LMs; D: analyzes cultural bias in corpora; C: foregrounds harms of Western default assumptions,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,"Middle East, cultural bias, Arabic NLP, CAMeL dataset",MENA,Academic,North America,"College of Computing
Georgia Institute of Technology, USA",,"Introduces CAMeL, a benchmark of 628 prompts and 20k+ entities contrasting Arab and Western cultures. Tests 16 language models on Arabic tasks (NER, sentiment, story generation). Finds models stereotype and misrepresent Arab contexts. Corpus analysis shows Wikipedia is ill-suited as an Arabic source without adjustment. Released as public resource, the study highlights cultural misalignments when global systems are deployed without local training data.",
"Nayebare et al., 2023","Nayebare, M., Eglash, R., Kimanuku, U., Baguma, R., Mounsey, J., & Maina, C. (2023). Interim Report for Ubuntu-AI: A Bottom-up Approach to More Democratic and Equitable Training and Outcomes for Machine Learning (Democratic Inputs for AI). OpenAI Foundation. https://generativejustice.org/uai/",Interim Report for Ubuntu-AI: A Bottom-up Approach to More Democratic and Equitable Training and Outcomes for Machine Learning (Democratic Inputs for AI),Practices less-extractive,"Crowdsourcing data collection, Participatory data ownership & governance","Community impacts and relations, Ethics frameworks",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: frames “generative justice” for ML training; D: designs a platform for equitable collection and governance; C: enables African creatives to control use and share in value,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)","Existing networks, relevant organizations and conferences",Africa; training data; platform governance; creative workers; equitable benefits,Africa,Academic,North America,"University of Michigan, USA",,"Articulates the “double bind” of exclusion vs. surrendering data. Proposes Ubuntu-AI, a platform where African artists contribute training data under community governance, with profit-sharing and usage control. Links equitable data sourcing to fairer outcomes and stronger participation in AI economies",
